category_id,category_name
1,seafood
2,soup
3,sandwiches
4,bars
5,newamerican
6,breakfast_brunch
7,mexican
8,tex-mex
9,thai
10,steak
11,wine_bars
12,italian
13,gluten_free
14,vegan
15,burgers
16,cocktailbars
17,spanish
18,tapas
19,tapasmallplates
20,korean
21,sushi
22,japanese
23,chicken_wings
24,asianfusion
25,french
26,mediterranean
27,taiwanese
28,chinese
29,tradamerican
30,breweries
31,venues
32,desserts
33,diners
34,hotpot
35,catering
36,tacos
37,lounges
38,seafoodmarkets
39,diyfood
40,fondue
41,cuban
42,poke
43,bubbletea
44,cantonese
45,izakaya
46,salad
47,mideastern
48,australian
49,southern
50,bbq
51,ramen
52,noodles
53,greek
54,vietnamese
55,pizza
56,beer_and_wine
57,british
58,modern_european
59,beerbar
60,lebanese
61,armenian
62,latin
63,peruvian
64,dimsum
65,caribbean
66,venezuelan
67,brazilian
68,cajun
69,gastropubs
70,tikibars
71,vegetarian
72,cambodian
73,brewpubs
74,colombian
75,brasseries
76,pubs
77,icecream
78,sportsbars
79,polish
80,hungarian
81,butcher
82,scottish
83,fishnchips
84,halal
85,cookingclasses
86,cafes
87,german
88,streetvendors
89,turkish
90,delis
91,grocery
92,gourmet
93,irish
94,irish_pubs
95,boattours
96,musicvenues
97,champagne_bars
98,creperies
99,salvadoran
100,gaybars
101,chickenshop
102,hotdog
103,hotdogs
104,afghani
105,hkcafe
106,mongolian
107,divebars
108,bakeries
109,soulfood
110,malaysian
111,indpak
112,himalayan
113,coffee
114,belgian
115,pastashops
116,raw_food
117,bowling
118,puertorican
119,ethiopian
120,african
121,somali
122,juicebars
123,szechuan
124,moroccan
125,jazzandblues
126,portuguese
127,buffets
128,eritrean
129,pakistani
130,hotels
131,eventservices
132,fooddeliveryservices
133,hawaiian
134,comfortfood
135,wraps
136,trinidadian
137,importedfood
138,danceclubs
139,bagels
140,persian
141,waffles
142,tea
143,popuprestaurants
144,foodtrucks
145,wineries
146,shanghainese
147,cheesesteaks
148,vinyl_records
149,intlgrocery
150,poolhalls
151,panasian
152,donuts
153,kebab
154,dominican
155,bangladeshi
