zipcode,city
02116,Boston
02128,Boston
02113,Boston
02451,Waltham
02215,Boston
02134,Allston
01801,Woburn
02114,Boston
02139,Cambridge
02108,Boston
02210,Boston
02118,Boston
02111,Boston
02199,Boston
02127,Boston
02110,Boston
02135,Boston
02140,Cambridge
02145,Somerville
02115,Boston
02109,Boston
02143,Somerville
02129,Boston
02150,Chelsea
02446,Brookline
02125,Boston
02130,Jamaica Plain
02119,Boston
02228,Boston
02138,Cambridge
02141,Cambridge
02120,Boston
02211,Boston
02142,Cambridge
02124,Boston
02152,Winthrop
02445,Brookline
02144,Somerville
02122,Boston
02472,Watertown
02148,Malden
02149,Everett
02186,Milton
02126,Boston
02458,Newton
02474,Arlington
02131,Roslindale
02467,Chestnut Hill
02459,Newton
