restaurant_id,category_id
JZUTavw4SsZ-iiExULq1_g,1
JZUTavw4SsZ-iiExULq1_g,2
JZUTavw4SsZ-iiExULq1_g,3
DGlk1nTaaRE6uJFJbKv45A,4
DGlk1nTaaRE6uJFJbKv45A,5
DGlk1nTaaRE6uJFJbKv45A,6
iQtGgTuPT7Zb_AHtLxl5sw,7
y2w6rFaO0XEiG5mFfOsiFA,1
y2w6rFaO0XEiG5mFfOsiFA,4
OLQKQ6jp3Tzrr9-r7EU_fg,7
OLQKQ6jp3Tzrr9-r7EU_fg,8
D3EMZKhkRqUQya20IGv7lg,9
_98MfEQ67r9-V78gmy8_Pg,1
_98MfEQ67r9-V78gmy8_Pg,10
_98MfEQ67r9-V78gmy8_Pg,11
xVJv__UZMNfW1O4oGUrvWw,12
xVJv__UZMNfW1O4oGUrvWw,13
xVJv__UZMNfW1O4oGUrvWw,14
i9slSVVALR9WF2ej2o1jvw,9
-pK1SR3blPDEzYKwXk4L5Q,5
-pK1SR3blPDEzYKwXk4L5Q,15
-pK1SR3blPDEzYKwXk4L5Q,16
Yw1vQd5U5GB6ZPqn2buhBg,17
Yw1vQd5U5GB6ZPqn2buhBg,18
Yw1vQd5U5GB6ZPqn2buhBg,19
yg1onzPFULGaEFT81CBmeQ,20
yg1onzPFULGaEFT81CBmeQ,21
yg1onzPFULGaEFT81CBmeQ,22
pWyR94wFtrJtd8Y7Ix2sQw,22
pWyR94wFtrJtd8Y7Ix2sQw,17
pWyR94wFtrJtd8Y7Ix2sQw,18
vNlwe5I5XRhdF4S8NZkz0w,20
vNlwe5I5XRhdF4S8NZkz0w,23
vNlwe5I5XRhdF4S8NZkz0w,24
omw2RVtNoMJ-Eet6Tvl_IA,1
Ii-aCAM4KG6RCvpMn0hOkg,9
VH0Ib9S3E-dxbQdQC4rffg,25
VH0Ib9S3E-dxbQdQC4rffg,26
e54WzrGWxuQBlABMCfM3DQ,27
e54WzrGWxuQBlABMCfM3DQ,28
xFEyKgGkgOycAsJvVsUzVw,21
xFEyKgGkgOycAsJvVsUzVw,22
ScslTjcxi4ubXOBiLfCOmg,12
ly8RyiktGZwwVSAv6KZEtQ,1
ly8RyiktGZwwVSAv6KZEtQ,10
ly8RyiktGZwwVSAv6KZEtQ,5
poswq7BdLM9Iryd9palDVQ,12
poswq7BdLM9Iryd9palDVQ,11
WoI1IisL_AgmWdiJLRb-Zw,29
WoI1IisL_AgmWdiJLRb-Zw,30
WoI1IisL_AgmWdiJLRb-Zw,31
V5r0E89VSK0IDzZRvrhc3g,29
V5r0E89VSK0IDzZRvrhc3g,32
1C32E52HmhRC3GNwkX2nZg,5
1C32E52HmhRC3GNwkX2nZg,24
aGYdF_fNHDhFCAnXoTCkGA,4
aGYdF_fNHDhFCAnXoTCkGA,29
aGYdF_fNHDhFCAnXoTCkGA,1
ez8T3NT5Icv2JFuUr_Qkfg,12
bZhUufqdpg5qxsDKpIRv5A,12
bZhUufqdpg5qxsDKpIRv5A,16
qVNYCZi2ofv-oe293JsYkg,5
qVNYCZi2ofv-oe293JsYkg,33
qVNYCZi2ofv-oe293JsYkg,10
Ruq91rmQNweZ78TzKylQMg,1
Ruq91rmQNweZ78TzKylQMg,4
Q2dq9Eo1NMbD1k25Xx21TQ,34
Q2dq9Eo1NMbD1k25Xx21TQ,22
HEaQQAH6qyFXamKkpil91A,3
HEaQQAH6qyFXamKkpil91A,35
HEaQQAH6qyFXamKkpil91A,1
MUup2lqjjX8JYvYjFCAAeA,36
rcERANnIyyyanLU0t2qdKg,12
Dvwj6KWrDZHVQwlSjYS4Iw,15
Dvwj6KWrDZHVQwlSjYS4Iw,29
Dvwj6KWrDZHVQwlSjYS4Iw,3
p8ohzzGvGRCHnJKnyO7exA,5
p8ohzzGvGRCHnJKnyO7exA,37
p8ohzzGvGRCHnJKnyO7exA,6
J1uidHIL7nE_noUuvFXj0A,12
XQFvbZxfzbrMY_GqsYu1RQ,12
XQFvbZxfzbrMY_GqsYu1RQ,11
Q8g68ZDAt93h_n_wTbwshA,24
Q8g68ZDAt93h_n_wTbwshA,16
Q8g68ZDAt93h_n_wTbwshA,22
