review_id,review_rating,text,time_created,restaurant_id,user_id
wBf86eTka9mV-pArAmk0qw,5,"I wanted an iconic Boston lobster roll made with butter, and I got exactly that here!

You can get their regular lobster roll with different amounts of...",2020-02-19 17:45:28,G8mYHODB3zYw4RsSVebACw,SS2lDcYYCuy1ZJo7SZ_pJw
5f9qwicKUHGViAOpMRtTbA,4,"Really had to sit on this rating. Interesting vibe inside, very much on the casual side. Great service but things don't move very quickly. I've been trying...",2019-12-22 11:59:27,G8mYHODB3zYw4RsSVebACw,b6v08IXiat634wvPJ6FFxQ
aKxmXNk3zVD9PnKzYEnahw,5,I was revisiting Boston for a brief trip and had just one more thing to cross of my foodie to do list: a lobster roll. Cliche? Yes. Still worth it?...,2019-11-26 11:34:54,G8mYHODB3zYw4RsSVebACw,aMoLI1v7eclKDZIAopR_FA
OpDtxGcQqO22NPaGZKr0mA,4,"I came here in a large group for breakfast and really enjoyed the food. I ordered French toast with a side of hash browns and both were delicious, not to...",2020-02-03 11:39:13,DGlk1nTaaRE6uJFJbKv45A,jOn_dLvX96AXgiFT4MBiEw
h26gQuqKem_1YgXiGd695g,1,"Came here for breakfast today and did not have a pleasant experience (and i dont even do bad reviews!)

But i came for breakfast (courtesy of a friend) and...",2019-12-21 12:24:47,DGlk1nTaaRE6uJFJbKv45A,KOyp9GNa6SzKz5WvQRlTfA
xV92L3asvVKKOfW4OpAvvw,5,"Solid brunch! Had a mix up on my order, but the staff was very accommodating and made it right.

Great customer service! Will be back.",2019-10-23 06:43:57,DGlk1nTaaRE6uJFJbKv45A,mNjEYsuS6BU1fstFF_svZg
XWp1N3V0fLi3WPkgSrf4Tg,5,"DINNER REVIEW

Taco bout a great find!

I came to Taqueria Jalisco on the recommendation of a friend who lives in Eastie and boy am I glad I did. I just got...",2020-01-04 13:56:40,iQtGgTuPT7Zb_AHtLxl5sw,MF17Nc5LimEhqCMGZnvZjw
LTzPehhLhsYgWN8u0iQANA,4,Hands down the best Mexican Hole in the Wall in Eastie. Definitely a staple for me! && I bring my parents here every time they're in town to visit bc they...,2020-02-01 13:23:21,iQtGgTuPT7Zb_AHtLxl5sw,L8ahEreDlrW4MYlV5DJGog
uUKulASiaKySwlURNtEzXw,5,"On the coldest night during our weekend trip to Boston, my boyfriend and I got a sudden hankering for tacos. I am so glad we shuffled into Taqueria...",2019-12-17 20:30:04,iQtGgTuPT7Zb_AHtLxl5sw,vjMMOynhonI2HfgzWM-p_Q
kcBQbenCF9liqgsx-6s4oA,5,"I can't say enough about Neptune oyster.

I absolutely love this place and return every time I'm in Boston.

Staples for me are the Ipswich clams, hot...",2020-02-07 14:37:33,y2w6rFaO0XEiG5mFfOsiFA,T6TInNEhz-qm5tT_ZjQEoA
gJxWmRc2_zy4ra49hq2t_g,4,A Boston staple when it comes to the North End.  Really fresh seafood and usually a line so come early if you don't want to wait.  It was our first time so...,2020-02-22 10:42:41,y2w6rFaO0XEiG5mFfOsiFA,3OyQ26ZqlUO1BpXhP-1JJA
TIM5R83ggTGGkcx6QG44bQ,4,"Yum! I am so full and stuffed after eating here. Although it's a bit pricey, the food is amazing. 

Food: Everything is so fresh and the flavors are...",2020-02-17 11:20:38,y2w6rFaO0XEiG5mFfOsiFA,JI4imSXT0MINFMzeu5aAkw
_IYidbeiObBkBV8SZ02k3A,5,"FABULOUS customer service, delicious food, and competitive catering prices.  I ordered catering for a large corporate event through this Moe's location and...",2019-03-21 10:42:51,OLQKQ6jp3Tzrr9-r7EU_fg,LXz6rpFYgfu3wUBfq8pA6Q
NCqR85s9k7na-Bw3dGvsoA,1,Walked in to no greeting (not a huge deal)  Then asked for a bowl....steak (no steak ready) asked for peppers (out of peppers).  Woman didn't understand...,2020-02-13 09:22:45,OLQKQ6jp3Tzrr9-r7EU_fg,j4D98ZMdAI-pmiKpoSmb0Q
-pHU5R4oxUqa0cv1eAfmXQ,1,The worst Mexican food I 'be ever had! I ordered the quinoa bowl with steak and the guy who prepared my food had just sprinkled quinoa and the steak was...,2019-05-04 13:44:01,OLQKQ6jp3Tzrr9-r7EU_fg,TZYlpwCQ7j6yJ60XKU5DuA
K3MxoMpH3sJLOOmovpuKAQ,5,"My boyfriend and I ordered takeout from here on a weekend evening. 

We both ordered the pad thai with crispy chicken. I've tried a lot of pad Thai places,...",2020-02-08 18:09:30,D3EMZKhkRqUQya20IGv7lg,us5Q0AQ3EbzasuUa_As3yw
NcB4pMSn37AR0UjnOHjozg,5,"I've eaten here countless times for lunch-usually order through Yelp for pickup. But if it's a nice day out, I love eating outside (though, be careful of...",2020-01-17 22:12:20,D3EMZKhkRqUQya20IGv7lg,ZXdclw3qOURyJQSU_PBMsg
iEGSfU4n6zRtWvOXK97iDQ,5,"We have eaten here for a whole semester and many years to come
First, the quality of food is good. I often have Pad See You (with less salt) and my friend's...",2019-12-23 18:10:16,D3EMZKhkRqUQya20IGv7lg,g1hM3XDICGnnUo4uwQL5lQ
Or0eHmMfRJLM50Js3z1ftA,5,I have to say that the steak I had at Grill 23 was the best I've ever had in Boston! Me and the rest of my party got the 100 Day Aged Prime Ribeye (Medium...,2020-02-16 15:19:25,_98MfEQ67r9-V78gmy8_Pg,yaOKBkm75rXo8uSVF4hSAA
Ow5XTk0OclRH_oUmUe4Jxg,5,"Updated in December 2019:
Grill 23 consistently provides both incredible food and service and I'm here to give it that fifth star. All I really need to say...",2019-12-24 08:43:22,_98MfEQ67r9-V78gmy8_Pg,ed9_B3BzUm3pIdepOMnM4A
QliioVTWDJX98UBQsCpAww,4,"My friend was visiting from London and me from NYC and we had a delightful experience. My friend wanted a "" proper steak"" and wasn't disappointed with the...",2019-10-13 19:12:41,_98MfEQ67r9-V78gmy8_Pg,OSi6-PdrHeD5gTUjNSSqBg
E_gRJp97eUX_msiSavD4lA,5,One of the best North End Gems to choose from in this neighborhood of good Italian Restaurants. The traditional antipasto is stunning and a must have. It is...,2020-02-14 17:04:08,xVJv__UZMNfW1O4oGUrvWw,3X_WwaTG4dcuH2wDw5lzWA
rG_n4kI21LTdusP-woXSPw,5,"My family has been coming here the day after Christmas for about 10 years. It's a small space and they are always highly accommodating. 

In my experience,...",2019-12-27 05:37:54,xVJv__UZMNfW1O4oGUrvWw,O_AxxRjlQHLbf9FPVf0BFQ
V1KGPYJjC3aRgmL4OWVIeg,4,Terramia is very small but the service was excellent. It also seemed to be a family owned business for generations. They also appeared to have invested in a...,2019-11-25 12:09:02,xVJv__UZMNfW1O4oGUrvWw,Zv4VRSSVJOa5MqCdyvJljw
1rwIP8kIGMv-vg7hl1V7yQ,5,"So strong. Wonderful, quick food. Golden bags and crispy chicken pad thai are go to dishes, so delicious. 

Google maps says they are closed on Sunday's but...",2019-10-16 09:42:07,i9slSVVALR9WF2ej2o1jvw,puxGbeT0KdNwR9434YYH4Q
4Gqg9h1IPTVGmKJNusUKBg,2,"Thai food, when done right, is so amazing. That said, I think it's really hard to keep things authentic while meeting the various preferences of the local...",2019-09-16 10:40:54,i9slSVVALR9WF2ej2o1jvw,jtkXg-OITT1Wvq0jCpLudA
M80niOvUsjCY0eEVnjJZGA,4,"Small charming restaurant, as expected for the location of this restaurant. Unlike other Thai restaurants nearby, they open later so it's convenient for me...",2019-09-06 15:57:21,i9slSVVALR9WF2ej2o1jvw,mJZtP__hZL9dIxlHcArikw
oeMw3i3rLbKKzainlN4aRQ,4,"Coda is pretty casual dine-in restaurant with some great burgers/sandwiches. 

I got the Fried Eggplant and Turkey Sandwich with fries. The sandwich itself...",2020-01-24 05:11:20,-pK1SR3blPDEzYKwXk4L5Q,wLPmlWtDJQREMK3iBQQjGA
GD6GCdAGMLU63EdB29fzPw,3,"Chill and staple restaurant in the South End. 

Came for their cocktail menu, which seems to have a few new selections periodically (their menu on the...",2020-01-14 18:21:59,-pK1SR3blPDEzYKwXk4L5Q,WbPFGn-zu03Z9RBBw1d5Vg
jenHLEn-DIm_BBwHNqd2Kg,4,A simple and comfortable spot in South End. My group of five did not have to wait at all to be seated on a Saturday. The server was very helpful in giving...,2019-11-24 08:16:44,-pK1SR3blPDEzYKwXk4L5Q,eT8FMQbkww4dBKKpXsh-oA
UmG1otA7Bqgw7PsuTyjIMQ,5,"Excellent food.
A bit pricy. 4 dishes are about $45
Excellent customer service.
""Late"" service but not as late as in Spain",2019-10-15 17:20:38,Yw1vQd5U5GB6ZPqn2buhBg,IF7Lc_NuxC36RIn4xPaXDw
sn7LbnS3uN3gp3yZhvHlPA,2,"A huge disappointment. Dined here on Tuesday night with 3 coworkers. After reading the menu in advance, we thought this place was perfect as one of my...",2020-02-10 13:01:33,Yw1vQd5U5GB6ZPqn2buhBg,RhumBf8pXq3nv-oaPlw6FQ
YQDLDxHd4DExQbTaviMpJw,5,"This is the best tapas I've had in memory. Had these dishes: 
Pulp a la Gallega (sliced in circles), Alcachofa Rellenas (stuffed artichokes with iberico...",2020-02-18 01:21:21,Yw1vQd5U5GB6ZPqn2buhBg,2Od6rQYNvPUXQC2Go7vIqg
T_sCQJY1IpZh4P7jN-YqhA,5,"Stopped by Seoul to introduce my bestie to Korean food. Most importantly, budae jjigae. We also ordered the seafood pancake. The budae jjigae came with your...",2019-12-02 17:57:17,yg1onzPFULGaEFT81CBmeQ,cGNqMlflo_1lhbx7hqU2gg
Y08yalQgugZ0vb-gJV3dYw,1,3 out of 6 of us had symptoms of food poisoning within a day or two of eating here. Can't say for sure if it was this food but we didn't share any other...,2020-01-20 08:12:54,yg1onzPFULGaEFT81CBmeQ,VXDewPP4N6hGlqTQUMv1xA
KHzz05zeHOwwfLgUOpEsyQ,3,"Coming from Atlanta where there is a big K-town district, the food here was ok. Had the pork belly with oysters. The overall side dishes that came with it...",2020-02-17 18:44:55,yg1onzPFULGaEFT81CBmeQ,4vVL7KA2HcDSXPpm78nfdA
JnYlCaho5XwqXOGWwDCIKQ,4,"We came here for brunch on a Sunday around 1pm. It was not super busy, we got seated immediately. The pace is very cute and has a lot of bar seating. To...",2019-12-16 09:21:46,pWyR94wFtrJtd8Y7Ix2sQw,aCjJJ8U1c10zRuVKmj7jVg
